core,BogoMIPS,Memory,RPS,p95,p99
4,108.0,8,12,144,219.2
4,108.0,8,13,138.4,210.6
4,108.0,8,14,135.7,214.9
4,108.0,8,14,100.5,169
4,108.0,8,13,125.2,179.5
4,108.0,8,14,144,223.7
4,108.0,8,13,127.8,228.2
4,108.0,8,14,130.3,179.5
4,108.0,8,13,130.3,210.6
4,108.0,8,13,120.3,186.8
4,108.0,8,13,111.1,169
4,108.0,8,14,100.5,172.5
4,108.0,8,13,120.3,179.5
4,108.0,8,13,127.8,186.8
4,108.0,8,12,120.3,190.6
4,108.0,8,12,111.1,175.9
4,108.0,8,12,98.5,179.5
4,108.0,8,13,115.6,179.5
4,108.0,8,14,144,228.2
4,108.0,8,13,133,186.8
4,108.0,8,13,117.9,210.6
4,108.0,8,14,133,214.9
4,108.0,8,13,104.6,172.5
4,108.0,8,14,133,183.1
4,108.0,8,13,144,198.4
4,108.0,8,13,102.5,162.4
4,108.0,8,13,135.7,210.6
4,108.0,8,13,120.3,210.6
4,108.0,8,13,135.7,206.5
4,108.0,8,14,111.1,172.5
4,108.0,8,13,194.4,320.6
4,108.0,8,13,147,247.2
4,108.0,8,14,102.5,172.5
4,108.0,8,13,111.1,169
4,108.0,8,14,113.3,179.5
4,108.0,8,13,144,232.8
4,108.0,8,13,117.9,186.8
4,108.0,8,13,141.2,202.4
4,108.0,8,14,122.7,179.5
4,108.0,8,13,144,252.2
4,108.0,8,13,120.3,202.4
4,108.0,8,13,104.6,169
4,108.0,8,13,111.1,172.5
4,108.0,8,13,179.5,301.9
4,108.0,8,13,115.6,179.5
4,108.0,8,13,102.5,162.4
4,108.0,8,13,130.3,186.8
4,108.0,8,14,115.6,169
4,108.0,8,13,122.7,179.5
4,108.0,8,13,106.7,172.5
4,108.0,8,14,144,228.2
4,108.0,8,14,133,206.5
4,108.0,8,14,153,232.8
4,108.0,8,13,133,206.5
4,108.0,8,13,125.2,190.6
4,108.0,8,13,162.4,267.8
4,108.0,8,13,115.6,175.9
4,108.0,8,14,111.1,190.6
4,108.0,8,14,133,202.4
4,108.0,8,14,130.3,228.2
4,108.0,8,14,111.1,186.8
4,108.0,8,13,159.2,257.3
4,108.0,8,14,115.6,194.4
4,108.0,8,14,172.5,252.2
4,108.0,8,13,117.9,186.8
4,108.0,8,13,125.2,198.4
4,108.0,8,13,98.5,169
4,108.0,8,13,214.9,340.4
4,108.0,8,14,102.5,175.9
4,108.0,8,13,149.9,232.8
4,108.0,8,13,169,267.8
4,108.0,8,13,165.7,257.3
4,108.0,8,13,113.3,179.5
4,108.0,8,13,141.2,206.5
4,108.0,8,14,104.6,172.5
4,108.0,8,13,144,223.7
4,108.0,8,14,138.4,210.6
4,108.0,8,13,117.9,175.9
4,108.0,8,13,117.9,175.9
4,108.0,8,13,122.7,210.6
4,108.0,8,13,133,186.8
4,108.0,8,13,115.6,179.5
4,108.0,8,14,125.2,179.5
4,108.0,8,14,106.7,162.4
4,108.0,8,13,130.3,194.4
4,108.0,8,13,125.2,175.9
4,108.0,8,13,153,214.9
4,108.0,8,13,135.7,186.8
4,108.0,8,14,100.5,162.4
4,108.0,8,13,117.9,179.5
4,108.0,8,13,153,237.5
4,108.0,8,13,153,232.8
4,108.0,8,14,162.4,223.7
4,108.0,8,13,117.9,214.9
4,108.0,8,13,111.1,190.6
4,108.0,8,13,106.7,219.2
4,108.0,8,13,127.8,202.4
4,108.0,8,13,94.6,172.5
4,108.0,8,14,147,223.7
4,108.0,8,12,141.2,228.2
4,108.0,8,14,111.1,169
4,108.0,8,12,130.3,186.8
4,108.0,8,12,159.2,228.2
4,108.0,8,14,127.8,210.6
4,108.0,8,12,117.9,179.5
4,108.0,8,12,104.6,194.4
4,108.0,8,14,144,232.8
4,108.0,8,14,108.9,194.4
4,108.0,8,13,133,190.6
4,108.0,8,14,108.9,172.5
4,108.0,8,13,122.7,190.6
4,108.0,8,13,141.2,214.9
4,108.0,8,14,153,278.7
4,108.0,8,13,127.8,206.5
4,108.0,8,13,156,232.8
4,108.0,8,13,115.6,169
4,108.0,8,13,141.2,214.9
4,108.0,8,14,111.1,190.6
4,108.0,8,13,120.3,194.4
4,108.0,8,14,141.2,210.6
4,108.0,8,14,94.6,159.2
4,108.0,8,13,117.9,186.8
4,108.0,8,13,125.2,202.4
4,108.0,8,14,115.6,162.4
4,108.0,8,14,144,206.5
4,108.0,8,14,162.4,237.5
4,108.0,8,13,115.6,186.8
4,108.0,8,13,120.3,206.5
4,108.0,8,13,125.2,206.5
4,108.0,8,14,141.2,242.3
4,108.0,8,14,186.8,314.2
4,108.0,8,14,141.2,214.9
4,108.0,8,14,120.3,179.5
4,108.0,8,13,100.5,156
4,108.0,8,12,183.1,314.2
4,108.0,8,13,144,262.5
4,108.0,8,13,108.9,169
4,108.0,8,12,115.6,190.6
4,108.0,8,13,149.9,262.5
4,108.0,8,13,127.8,198.4
4,108.0,8,14,100.5,162.4
4,108.0,8,12,98.5,162.4
4,108.0,8,13,159.2,228.2
4,108.0,8,13,102.5,169
4,108.0,8,13,149.9,223.7
4,108.0,8,13,133,183.1
4,108.0,8,14,153,237.5
4,108.0,8,14,144,198.4
4,108.0,8,14,104.6,169
4,108.0,8,13,135.7,219.2
4,108.0,8,13,135.7,219.2
4,108.0,8,13,153,228.2
4,108.0,8,13,135.7,247.2
4,108.0,8,13,125.2,210.6
4,108.0,8,14,85.6,172.5
4,108.0,8,13,156,242.3
4,108.0,8,14,106.7,183.1
4,108.0,8,13,153,242.3
4,108.0,8,14,135.7,232.8
4,108.0,8,14,156,267.8
4,108.0,8,13,111.1,162.4
4,108.0,8,13,113.3,179.5
4,108.0,8,14,108.9,165.7
4,108.0,8,13,141.2,206.5
4,108.0,8,14,96.6,162.4
4,108.0,8,14,111.1,169
4,108.0,8,13,144,214.9
4,108.0,8,14,135.7,219.2
4,108.0,8,14,120.3,183.1
4,108.0,8,14,159.2,252.2
4,108.0,8,13,141.2,232.8
4,108.0,8,14,122.7,228.2
4,108.0,8,12,144,242.3
4,108.0,8,13,113.3,172.5
4,108.0,8,12,144,228.2
4,108.0,8,12,162.4,228.2
4,108.0,8,13,135.7,252.2
4,108.0,8,12,113.3,169
4,108.0,8,13,100.5,169
4,108.0,8,13,144,206.5
4,108.0,8,14,141.2,223.7
4,108.0,8,13,111.1,172.5
4,108.0,8,13,108.9,186.8
4,108.0,8,13,104.6,172.5
4,108.0,8,13,117.9,202.4
4,108.0,8,13,141.2,223.7
4,108.0,8,14,141.2,223.7
4,108.0,8,14,144,242.3
4,108.0,8,13,102.5,172.5
4,108.0,8,14,144,267.8
4,108.0,8,14,127.8,228.2
4,108.0,8,13,125.2,186.8
4,108.0,8,13,120.3,179.5
4,108.0,8,13,135.7,210.6
4,108.0,8,13,120.3,175.9
4,108.0,8,13,138.4,262.5
4,108.0,8,13,113.3,172.5
4,108.0,8,14,100.5,179.5
4,108.0,8,14,130.3,194.4
4,108.0,8,14,214.9,314.2
4,108.0,8,13,172.5,252.2
4,108.0,8,13,106.7,172.5
4,108.0,8,13,115.6,186.8
4,108.0,8,14,183.1,314.2
4,108.0,8,14,117.9,186.8
4,108.0,8,13,156,247.2
4,108.0,8,13,144,214.9
4,108.0,8,13,147,219.2
4,108.0,8,13,94.6,159.2
4,108.0,8,14,117.9,172.5
4,108.0,8,13,149.9,273.2
4,108.0,8,14,113.3,183.1
4,108.0,8,13,111.1,172.5
4,108.0,8,13,108.9,172.5
4,108.0,8,13,115.6,172.5
4,108.0,8,14,117.9,172.5
4,108.0,8,14,153,252.2
4,108.0,8,13,122.7,190.6
4,108.0,8,13,127.8,219.2
4,108.0,8,14,144,237.5
4,108.0,8,13,138.4,210.6
4,108.0,8,14,141.2,242.3
4,108.0,8,14,159.2,228.2
4,108.0,8,14,183.1,333.7
4,108.0,8,13,120.3,198.4
4,108.0,8,14,108.9,165.7
4,108.0,8,13,117.9,175.9
4,108.0,8,13,111.1,183.1
4,108.0,8,14,108.9,175.9
4,108.0,8,14,117.9,202.4
4,108.0,8,13,147,232.8
4,108.0,8,14,159.2,257.3
4,108.0,8,13,117.9,223.7
4,108.0,8,13,135.7,232.8
4,108.0,8,14,190.6,314.2
4,108.0,8,14,156,206.5
4,108.0,8,14,141.2,252.2
4,108.0,8,14,141.2,214.9
4,108.0,8,14,104.6,169
4,108.0,8,14,111.1,165.7
4,108.0,8,13,122.7,175.9
4,108.0,8,13,120.3,179.5
4,108.0,8,14,159.2,257.3
4,108.0,8,13,127.8,206.5
4,108.0,8,14,117.9,175.9
4,108.0,8,13,117.9,172.5
4,108.0,8,14,104.6,172.5
4,108.0,8,13,138.4,242.3
4,108.0,8,13,133,232.8
4,108.0,8,14,135.7,228.2
4,108.0,8,13,117.9,175.9
4,108.0,8,13,111.1,183.1
4,108.0,8,13,141.2,223.7
4,108.0,8,13,149.9,242.3
4,108.0,8,13,206.5,314.2
4,108.0,8,13,153,206.5
4,108.0,8,14,111.1,186.8
4,108.0,8,13,138.4,210.6
4,108.0,8,13,133,237.5
4,108.0,8,14,159.2,262.5
4,108.0,8,13,117.9,179.5
4,108.0,8,14,159.2,262.5
4,108.0,8,13,169,252.2
4,108.0,8,14,144,214.9
4,108.0,8,14,149.9,228.2
4,108.0,8,13,133,223.7
4,108.0,8,13,130.3,179.5
4,108.0,8,13,149.9,232.8
4,108.0,8,14,172.5,262.5
4,108.0,8,13,147,237.5
4,108.0,8,13,120.3,202.4
4,108.0,8,14,127.8,172.5
4,108.0,8,14,127.8,206.5
4,108.0,8,14,127.8,175.9
4,108.0,8,13,108.9,169
4,108.0,8,13,111.1,186.8
4,108.0,8,13,117.9,169
4,108.0,8,13,104.6,172.5
4,108.0,8,14,130.3,175.9
4,108.0,8,13,125.2,198.4
4,108.0,8,13,138.4,214.9
4,108.0,8,13,115.6,190.6
4,108.0,8,13,144,214.9
4,108.0,8,14,111.1,183.1
4,108.0,8,13,125.2,175.9
4,108.0,8,13,133,232.8
4,108.0,8,14,141.2,186.8
4,108.0,8,14,138.4,223.7
4,108.0,8,13,149.9,228.2
4,108.0,8,13,102.5,172.5
4,108.0,8,13,106.7,165.7
4,108.0,8,13,202.4,340.4
4,108.0,8,14,117.9,223.7
4,108.0,8,13,159.2,228.2
4,108.0,8,14,102.5,159.2
4,108.0,8,14,106.7,172.5
4,108.0,8,13,113.3,172.5
4,108.0,8,13,125.2,175.9
4,108.0,8,13,130.3,214.9
4,108.0,8,13,162.4,262.5
4,108.0,8,13,149.9,262.5
4,108.0,8,14,113.3,186.8
4,108.0,8,13,122.7,219.2
4,108.0,8,14,138.4,198.4
4,108.0,8,13,165.7,267.8
4,108.0,8,13,153,228.2
4,108.0,8,13,141.2,232.8
4,108.0,8,12,120.3,219.2
4,108.0,8,12,153,228.2
4,108.0,8,13,141.2,232.8
4,108.0,8,13,120.3,206.5
4,108.0,8,14,153,242.3
4,108.0,8,13,135.7,186.8
4,108.0,8,13,120.3,186.8
4,108.0,8,13,130.3,202.4
4,108.0,8,12,133,214.9
4,108.0,8,12,153,252.2
4,108.0,8,13,117.9,183.1
4,108.0,8,13,115.6,190.6
4,108.0,8,13,153,267.8
4,108.0,8,13,133,237.5
4,108.0,8,13,183.1,333.7
4,108.0,8,14,135.7,210.6
4,108.0,8,13,111.1,183.1
4,108.0,8,14,117.9,194.4
4,108.0,8,13,120.3,206.5
4,108.0,8,14,113.3,172.5
4,108.0,8,14,102.5,214.9
4,108.0,8,14,159.2,228.2
4,108.0,8,14,147,219.2
4,108.0,8,13,159.2,267.8
4,108.0,8,13,175.9,262.5
4,108.0,8,13,120.3,172.5
4,108.0,8,13,117.9,179.5
4,108.0,8,13,144,214.9
4,108.0,8,13,156,232.8
4,108.0,8,13,115.6,190.6
4,108.0,8,14,108.9,179.5
4,108.0,8,12,130.3,186.8
4,108.0,8,13,135.7,223.7
4,108.0,8,13,130.3,210.6
4,108.0,8,12,141.2,214.9
4,108.0,8,13,125.2,214.9
4,108.0,8,12,113.3,172.5
4,108.0,8,12,100.5,175.9
4,108.0,8,12,162.4,252.2
4,108.0,8,12,149.9,223.7
4,108.0,8,14,141.2,206.5
4,108.0,8,14,147,247.2
4,108.0,8,13,104.6,175.9
4,108.0,8,14,111.1,179.5
4,108.0,8,13,117.9,175.9
4,108.0,8,14,125.2,194.4
4,108.0,8,13,141.2,202.4
